SRR,HTSeq,condition
SRR6145423,/media/mees/Elements/ngs_data/SRR6145423/Hisat2/SRR6145423_HTScount.txt,Old
SRR6145424,/media/mees/Elements/ngs_data/SRR6145424/Hisat2/SRR6145424_HTScount.txt,Old
SRR6145425,/media/mees/Elements/ngs_data/SRR6145425/Hisat2/SRR6145425_HTScount.txt,Old
SRR6145426,/media/mees/Elements/ngs_data/SRR6145426/Hisat2/SRR6145426_HTScount.txt,Old
SRR6145427,/media/mees/Elements/ngs_data/SRR6145427/Hisat2/SRR6145427_HTScount.txt,Old
SRR6145433,/media/mees/Elements/ngs_data/SRR6145433/Hisat2/SRR6145433_HTScount.txt,Aged_diseased
SRR6145434,/media/mees/Elements/ngs_data/SRR6145434/Hisat2/SRR6145434_HTScount.txt,Aged_diseased
SRR6145435,/media/mees/Elements/ngs_data/SRR6145435/Hisat2/SRR6145435_HTScount.txt,Aged_diseased
SRR6145436,/media/mees/Elements/ngs_data/SRR6145436/Hisat2/SRR6145436_HTScount.txt,Aged_diseased
SRR6145437,/media/mees/Elements/ngs_data/SRR6145437/Hisat2/SRR6145437_HTScount.txt,Aged_diseased
